사업장명,사업장도로명상세주소,법정동주소광역시도코드,법정동주소광역시시군구코드,법정동주소광역시시군구읍면동코드,사업장업종코드,사업장업종코드명,가입자수,당월고지금액,신규취득자수,상실가입자수
대신정보통신(주),서울특별시 금천구 가산디지털2로,11,545,101,722000,응용 소프트웨어 개발 및 공급업,623,208751760,13,13
한국후지쯔(주),서울특별시 종로구 종로,11,110,126,722000,응용 소프트웨어 개발 및 공급업,143,74430880,0,1
(주)비트컴퓨터,서울특별시 서초구 서초대로74길,11,650,108,722000,응용 소프트웨어 개발 및 공급업,131,45033340,2,2
(주)코스콤,서울특별시 영등포구 여의나루로,11,560,110,723000,자료 처리업,841,441292240,29,4
(주)제이.티.에스,서울특별시 마포구 잔다리로,11,440,120,722000,응용 소프트웨어 개발 및 공급업,7,1813760,0,0
케이씨씨정보통신주식회사,서울특별시 용산구 청파로61길,11,170,109,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,397,134064440,5,8
(주)디지털코라스,,11,560,121,722000,응용 소프트웨어 개발 및 공급업,10,2288360,0,0
주식회사솔트룩스,서울특별시 송파구 올림픽로35길,11,710,102,722000,응용 소프트웨어 개발 및 공급업,165,63952700,3,4
(주)키다리스튜디오,서울특별시 성동구 연무장11길,11,200,115,722000,응용 소프트웨어 개발 및 공급업,279,96615940,5,8
한국정보통신(주),서울특별시 중구 세종대로,11,140,117,724000,데이터베이스 및 온라인 정보 제공업,275,138111260,1,1
(주)케이씨이아이,,11,530,102,722000,응용 소프트웨어 개발 및 공급업,51,22559640,0,0
아이앤씨엠(주),서울특별시 구로구 시흥대로163길,11,530,102,724000,데이터베이스 및 온라인 정보 제공업,13,2705780,2,1
대성전산(주),서울특별시 서초구 방배로,11,650,101,723000,자료 처리업,87,27201220,1,2
삼일피더블유씨솔루션(주),서울특별시 용산구 한강대로,11,170,104,724000,데이터베이스 및 온라인 정보 제공업,37,17184460,2,2
(주)한국갤럽조사연구소,서울특별시 종로구 사직로,11,110,115,724000,데이터베이스 및 온라인 정보 제공업,212,79790600,4,4
(주)디모아,서울특별시 용산구 서빙고로51길,11,170,133,722000,응용 소프트웨어 개발 및 공급업,147,51497600,1,4
(주)미래쏘프트웨어,서울특별시 용산구 후암로28길,11,650,108,722000,응용 소프트웨어 개발 및 공급업,7,2509440,0,0
쎄티스펙션코리아시스템(주),서울특별시 금천구 서부샛길,11,545,101,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,5,1073880,0,0
한국도로교통공단,강원특별자치도 원주시 혁신로,51,130,117,724000,데이터베이스 및 온라인 정보 제공업,389,158625120,1,6
한국행동과학연구소,서울특별시 강남구 테헤란로52길,11,680,101,723000,자료 처리업,35,10036560,0,0
(주)아이티센클로잇,경기도 과천시 과천대로12길,41,290,103,722000,응용 소프트웨어 개발 및 공급업,411,180350420,4,10
한국지능정보사회진흥원,대구광역시 동구 첨단로,27,140,124,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,674,266014800,3,9
(주)엘지씨엔에스,서울특별시 강서구 마곡중앙8로,11,500,105,722000,응용 소프트웨어 개발 및 공급업,6877,3689694280,21,40
주식회사 아이티센엔텍,경기도 과천시 과천대로12길,41,290,103,722000,응용 소프트웨어 개발 및 공급업,961,379485780,23,16
(주)수산아이앤티,서울특별시 강남구 밤고개로5길,11,680,115,722000,응용 소프트웨어 개발 및 공급업,124,46203420,2,0
한일네트웍스 주식회사,서울특별시 중구 수표로,11,140,161,722000,응용 소프트웨어 개발 및 공급업,202,72071040,0,2
블루욘더코리아 유한회사,서울특별시 용산구 한강대로,11,170,125,722000,응용 소프트웨어 개발 및 공급업,7,3552920,0,0
지식시스템(주),경기도 성남시 분당구 판교로,41,135,109,722000,응용 소프트웨어 개발 및 공급업,44,15196260,2,0
삼성에스디에스(주),서울특별시 송파구 올림픽로35길,11,710,102,722000,응용 소프트웨어 개발 및 공급업,11440,6273685180,34,52
주식회사메타넷글로벌,서울특별시 강남구 영동대로,11,680,105,722000,응용 소프트웨어 개발 및 공급업,158,61512780,3,2
주식회사 디지피,전라남도 영광군 영광읍 그린테크로,46,870,250,722000,응용 소프트웨어 개발 및 공급업,57,17184020,1,2
펜타시큐리티(주),서울특별시 영등포구 여의공원로,11,560,110,722000,응용 소프트웨어 개발 및 공급업,243,92205740,5,8
(주)메가투스,서울특별시 구로구 디지털로33길,11,530,102,722000,응용 소프트웨어 개발 및 공급업,50,21593300,0,0
(주)경일메디칼,경기도 성남시 분당구 대왕판교로,41,135,109,722000,응용 소프트웨어 개발 및 공급업,9,3833240,0,1
유진의료정보시스템(주),서울특별시 도봉구 도봉로,11,320,107,722000,응용 소프트웨어 개발 및 공급업,5,1757220,0,0
주식회사 휴머스원,서울특별시 강남구 선릉로,11,680,101,722000,응용 소프트웨어 개발 및 공급업,3,1115720,0,1
양재미디어(주),서울특별시 영등포구 당산로41길,11,560,114,722000,응용 소프트웨어 개발 및 공급업,30,9571720,2,1
한국신문협회,서울특별시 중구 세종대로,11,140,103,722000,응용 소프트웨어 개발 및 공급업,14,5571640,0,1
(주)키삭,서울특별시 금천구 가산디지털1로,11,545,101,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,17,7360720,0,0
메타넷디지털 주식회사,서울특별시 종로구 종로33길,11,110,160,722000,응용 소프트웨어 개발 및 공급업,384,149322940,4,15
(주)엔젤넷,경기도 고양시 덕양구 해포길,41,281,130,722000,응용 소프트웨어 개발 및 공급업,36,12805960,0,1
(주)아이비케이시스템,서울특별시 중구 퇴계로,11,140,125,722000,응용 소프트웨어 개발 및 공급업,660,318159420,2,1
(주)신한디에스,서울특별시 중구 남대문로10길,11,140,107,722000,응용 소프트웨어 개발 및 공급업,1108,528431540,8,8
남성기업주식회사,서울특별시 구로구 디지털로33길,11,530,102,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,6,2455800,0,0
마크프로(주),서울특별시 중구 청계천로,11,140,102,729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,67,23692240,1,4
아시아나IDT(주),서울특별시 종로구 우정국로,11,110,127,721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,438,202586860,4,1
재단법인 한국데이터산업진흥원,서울특별시 중구 세종대로9길,11,140,166,724000,데이터베이스 및 온라인 정보 제공업,99,38196300,2,9
한국공정경쟁연합회,서울특별시 영등포구 은행로,11,560,110,722000,응용 소프트웨어 개발 및 공급업,11,3878240,0,1
지멘스인더스트리소프트웨어(주),서울특별시 강남구 언주로30길,11,680,118,722000,응용 소프트웨어 개발 및 공급업,295,155632420,4,4
웨더뉴스(주),서울특별시 마포구 상암산로,11,440,127,724000,데이터베이스 및 온라인 정보 제공업,19,7329600,0,0
주식회사 유비케어,서울특별시 영등포구 여의대로,11,560,110,722000,응용 소프트웨어 개발 및 공급업,281,109995400,3,4
